City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Isangel,VU,83.35,clear sky,-19.55,169.2667,Tanna Lodge
14,Rikitea,PF,76.53,broken clouds,-23.1203,-134.9692,People ThankYou
16,Cabo San Lucas,MX,78.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
19,Mahebourg,MU,78.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
21,Cotonou,BJ,81.82,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
28,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
33,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
39,Ixtapa,MX,79.83,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
43,Vao,NC,78.39,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
45,Alice Springs,AU,76.55,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
48,Butaritari,KI,83.07,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
61,Hithadhoo,MV,81.95,broken clouds,-0.6,73.0833,Scoop Guest House
72,Bubaque,GW,81.68,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
73,Port-Gentil,GA,77.92,overcast clouds,-0.7193,8.7815,Fengshui Residence
74,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
90,Atuona,PF,79.16,clear sky,-9.8,-139.0333,Villa Enata
92,Mount Isa,AU,83.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
94,Moerai,PF,78.73,overcast clouds,-22.4333,-151.3333,Le Manotel
109,Faanui,PF,80.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
114,Sola,VU,84.87,light rain,-13.8833,167.55,Leumerus Bungalows
115,Carnarvon,AU,75.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
127,Acapulco,MX,82.22,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
129,Sao Filipe,CV,77.38,few clouds,14.8961,-24.4956,Hotel Xaguate
132,Rodas,CU,79.68,clear sky,22.3408,-80.5572,Hostal Casa Mario
133,Itarema,BR,81.1,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
136,Angoche,MZ,76.95,broken clouds,-16.2325,39.9086,Guest House HESADA
140,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
141,Humberto De Campos,BR,78.89,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
145,Takoradi,GH,80.06,overcast clouds,4.8845,-1.7554,Raybow International Hotel
148,Celestun,MX,77.95,clear sky,20.8667,-90.4,Posada Lilia
150,Hilo,US,80.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
151,Atambua,ID,80.58,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
152,Tautira,PF,86.02,broken clouds,-17.7333,-149.15,Pension Oaoa
153,Bundaberg,AU,82.69,broken clouds,-24.85,152.35,Takalvan Motel
155,Saint-Georges,GD,76.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
156,Sarangani,PH,82.65,overcast clouds,5.4033,125.4636,Ballistic Islet
160,Les Cayes,HT,77.63,clear sky,18.2,-73.75,Villa Orphee
162,Saint-Paul,RE,75.31,clear sky,-21.0096,55.2707,Boucan Canot
169,Edd,ER,79.14,clear sky,13.9297,41.6925,
173,Sungairaya,ID,78.98,overcast clouds,0.7,108.9,Mess P.Milu
176,Mogadishu,SO,78.91,overcast clouds,2.0371,45.3438,Hotel Juba
180,Anloga,GH,82.62,overcast clouds,5.7947,0.8973,Pin Drop Hotel
181,Bontang,ID,77.36,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
189,Lorengau,PG,83.95,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
190,Resistencia,AR,80.58,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
191,Alyangula,AU,87.93,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
193,Kahului,US,82.42,light rain,20.8947,-156.47,Maui Seaside Hotel
196,Omboue,GA,75.25,overcast clouds,-1.5746,9.2618,Hotel Olako
197,Naranjal,EC,81.54,overcast clouds,-2.6667,-79.6167,Media Naranja
200,Harper,LR,79.09,broken clouds,4.375,-7.7169,Screensaver
205,Alofi,NU,75.09,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
208,Port Blair,IN,77.97,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
213,Diebougou,BF,76.69,scattered clouds,10.9667,-3.25,Hotel Le Consulat
219,Caravelas,BR,75.42,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
220,Gold Coast,AU,82.17,light rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
227,Geraldton,AU,90.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
229,Meulaboh,ID,77.23,scattered clouds,4.1363,96.1285,Kost Pria
236,Lakes Entrance,AU,79.57,scattered clouds,-37.8811,147.981,The Esplanade Resort & Spa
238,Bengkulu,ID,75.43,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
239,Kirakira,SB,84.18,overcast clouds,-10.4544,161.9205,SanBiz Lodge
257,Vanimo,PG,81.9,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
260,Nabire,ID,85.35,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
262,Luanda,AO,78.39,broken clouds,-8.8368,13.2343,Hotel Fórum
266,Tual,ID,83.52,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
267,Rawson,AR,83.17,clear sky,-43.3002,-65.1023,Hosteria Sampedro
287,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
289,Tumaco,CO,75.78,overcast clouds,1.7986,-78.8156,Dafneruben
294,Bambous Virieux,MU,78.22,few clouds,-20.3428,57.7575,Casa Tia Villa
296,Souillac,MU,78.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
297,Dingle,PH,77.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
303,Punto Fijo,VE,79.95,scattered clouds,11.6956,-70.1996,Santa Fe Inn Hotel
309,Noumea,NC,89.58,clear sky,-22.2763,166.4572,Hôtel Le Lagon
314,Yenagoa,NG,77.27,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
317,Wewak,PG,81.59,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
318,Labuhan,ID,79.41,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
320,Hobyo,SO,78.17,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
322,Clarence Town,AU,79.14,overcast clouds,-32.5833,151.7833,River Downs Cottage
326,Namatanai,PG,81.32,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
328,Acajutla,SV,91.74,few clouds,13.5928,-89.8275,asi es
332,Paragominas,BR,77.14,overcast clouds,-2.9667,-47.4833,INOVA
333,Raga,SS,75.69,few clouds,8.4596,25.678,
338,Daru,PG,85.21,overcast clouds,-9.0763,143.2092,Daru Lodge
339,Popondetta,PG,89.87,overcast clouds,-8.7537,148.2534,Timos Transit House
341,Kingston,JM,81.55,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
343,San Pedro,PH,81.1,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
347,Madimba,TZ,78.67,overcast clouds,-10.4,40.3333,
349,Ulladulla,AU,81.77,clear sky,-35.35,150.4667,Sandpiper Motel
351,Kununurra,AU,87.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
353,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
354,Mitsamiouli,KM,81.07,overcast clouds,-11.3847,43.2844,Foyer ADM
356,Buala,SB,83.8,light rain,-8.145,159.5921,Maringe Lagoon Lodge
363,Poum,NC,81.75,clear sky,-20.2333,164.0167,Gîte kajeon
364,Yulara,AU,82.24,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
366,Kawalu,ID,75.31,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
367,Emerald,AU,82.54,scattered clouds,-23.5333,148.1667,The Irish Village
373,Kavaratti,IN,80.06,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
381,Sinnamary,GF,77.54,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
383,Batemans Bay,AU,81.99,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
384,Tomatlan,MX,79.48,broken clouds,19.9333,-105.25,El Salvial
385,Rameswaram,IN,81.41,scattered clouds,9.2833,79.3,Daiwik Hotels Rameswaram
388,Tarakan,ID,80.1,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
391,Kiama,AU,80.26,few clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
392,Wukari,NG,77.29,overcast clouds,7.85,9.7833,Elimtop
393,Mamallapuram,IN,79.05,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
394,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Poutur Pousada
398,Botro,CI,76.48,broken clouds,7.8525,-5.3106,Motel de la Station BOTRO
401,Boueni,YT,78.78,light rain,-12.9025,45.0761,The feet in water
405,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
408,Kalmunai,LK,76.21,clear sky,7.4167,81.8167,VS Villa
409,Tabou,CI,79.34,few clouds,4.423,-7.3528,hotêl doufoulougou
410,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
412,Coro,VE,78.04,scattered clouds,11.4045,-69.6734,Federal
418,Massakory,TD,75.58,overcast clouds,12.996,15.7293,
419,Carutapera,BR,77.41,broken clouds,-1.195,-46.02,Lidera
422,Mackay,AU,88.68,overcast clouds,-21.15,149.2,International Lodge Motel
425,Cockburn Town,TC,80.73,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
431,Moundou,TD,76.98,overcast clouds,8.5667,16.0833,Planete Life
433,Bima,ID,80.64,broken clouds,-8.4667,118.7167,Lambitu Hotel
447,Negombo,LK,75.25,clear sky,7.2083,79.8358,Hotel Sunset Beach
453,Lazaro Cardenas,MX,77.85,clear sky,17.9583,-102.2,quinta antigua
457,Santa Rosa,PH,82.09,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
461,Kiunga,PG,88.56,scattered clouds,-6.1219,141.2906,Airport Lodge Kiunga
463,Ugoofaaru,MV,81.93,few clouds,5.6667,73.0,Ungoofaaru Inn
