City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,30.36,80,99,7.31,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,65.48,39,4,1.68,clear sky
2,Busselton,AU,-33.65,115.3333,65.05,53,0,18.63,clear sky
3,Kapaa,US,22.0752,-159.319,71.92,82,90,16.11,heavy intensity rain
4,Taurage,LT,55.2522,22.2897,9.05,94,16,4.18,few clouds
5,New Norfolk,AU,-42.7826,147.0587,55.71,54,100,1.99,overcast clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,69.13,82,55,8.61,broken clouds
7,Tura,IN,25.5198,90.2201,61.12,95,14,3.02,few clouds
8,Bredasdorp,ZA,-34.5322,20.0403,51.28,80,8,3.18,clear sky
9,East London,ZA,-33.0153,27.9116,65.64,84,77,8.46,light rain
10,Misratah,LY,32.3754,15.0925,55.13,64,50,35.01,scattered clouds
11,Ust-Barguzin,RU,53.45,108.9833,18.54,91,88,1.45,overcast clouds
12,Yellowknife,CA,62.456,-114.3525,-18.71,99,29,6.89,scattered clouds
13,Isangel,VU,-19.55,169.2667,83.35,72,5,1.54,clear sky
14,Rikitea,PF,-23.1203,-134.9692,76.53,71,68,8.32,broken clouds
15,Cape Town,ZA,-33.9258,18.4232,62.1,75,26,1.99,scattered clouds
16,Cabo San Lucas,MX,22.8909,-109.9124,78.51,69,1,3.44,clear sky
17,Cidreira,BR,-30.1811,-50.2056,68.11,79,23,15.55,few clouds
18,Chokurdakh,RU,70.6333,147.9167,-22.68,99,100,1.54,overcast clouds
19,Mahebourg,MU,-20.4081,57.7,78.26,72,11,10.47,few clouds
20,Pasni,PK,25.2631,63.471,71.29,59,0,6.42,clear sky
21,Cotonou,BJ,6.3654,2.4183,81.82,82,94,11.79,overcast clouds
22,Brasy,CZ,49.837,13.5783,32.09,83,96,11.01,overcast clouds
23,Dunedin,NZ,-45.8742,170.5036,51.82,92,100,10.49,overcast clouds
24,Karpathos,GR,35.507,27.2132,64.36,72,55,21.85,broken clouds
25,Port Elizabeth,ZA,-33.918,25.5701,62.1,90,77,6.71,broken clouds
26,Ponta Do Sol,PT,32.6667,-17.1,65.03,71,73,7.47,broken clouds
27,San Quintin,MX,30.4833,-115.95,64.42,70,4,3.36,clear sky
28,Vaini,TO,-21.2,-175.2,82.56,83,20,11.5,few clouds
29,Didwana,IN,27.4,74.5667,58.55,45,0,7.81,clear sky
30,Brewster,US,41.3973,-73.6171,58.95,91,97,3.0,light rain
31,Oksfjord,NO,70.2396,22.3479,22.12,74,77,10.49,broken clouds
32,Grindavik,IS,63.8424,-22.4338,36.07,60,75,18.41,broken clouds
33,Avarua,CK,-21.2078,-159.775,80.65,89,75,3.44,light rain
34,Hobart,AU,-42.8794,147.3294,56.05,76,75,5.75,broken clouds
35,Mar Del Plata,AR,-38.0023,-57.5575,67.08,78,0,5.01,clear sky
36,Kainantu,PG,-6.2887,145.8655,74.53,62,89,1.19,overcast clouds
37,Albany,US,42.6001,-73.9662,57.47,86,100,13.0,overcast clouds
