City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-12-05 13:42:37,-23.1203,-134.9692,75.09,76,77,7.92
1,Manbij,SY,2021-12-05 13:42:37,36.5281,37.9549,57.97,34,100,9.62
2,East London,ZA,2021-12-05 13:42:37,-33.0153,27.9116,72.54,94,75,17.27
3,Hamilton,US,2021-12-05 13:40:09,39.1834,-84.5333,38.25,70,90,1.99
4,Itarema,BR,2021-12-05 13:42:38,-2.9248,-39.9167,89.06,56,39,18.92
5,Sibut,CF,2021-12-05 13:42:38,5.718,19.0739,96.75,23,100,4.25
6,Cape Town,ZA,2021-12-05 13:39:00,-33.9258,18.4232,69.28,77,40,4.0
7,Hermanus,ZA,2021-12-05 13:42:38,-34.4187,19.2345,75.9,89,85,12.28
8,Mataura,NZ,2021-12-05 13:42:38,-46.1927,168.8643,47.48,99,100,0.51
9,Atuona,PF,2021-12-05 13:42:39,-9.8,-139.0333,77.79,75,0,16.06
10,Barrow,US,2021-12-05 13:40:02,71.2906,-156.7887,10.42,79,90,12.66
11,Inuvik,CA,2021-12-05 13:42:39,68.3499,-133.7218,-13.79,73,1,5.75
12,Bethel,US,2021-12-05 13:38:30,41.3712,-73.414,41.02,62,1,0.0
13,Lebu,CL,2021-12-05 13:42:39,-37.6167,-73.65,64.15,58,0,15.43
14,Luganville,VU,2021-12-05 13:42:39,-15.5333,167.1667,77.61,82,4,4.05
15,Bluff,NZ,2021-12-05 13:42:40,-46.6,168.3333,47.8,68,76,14.07
16,Matara,LK,2021-12-05 13:42:40,5.9485,80.5353,79.07,86,60,4.07
17,Imeni Stepana Razina,RU,2021-12-05 13:42:40,54.8932,44.2963,28.83,87,100,5.3
18,Pochutla,MX,2021-12-05 13:42:40,15.7432,-96.4661,75.02,43,0,1.79
19,Port Macquarie,AU,2021-12-05 13:37:58,-31.4333,152.9167,64.36,80,98,7.9
20,Kankan,GN,2021-12-05 13:42:41,10.3854,-9.3057,96.4,12,34,7.78
21,Airai,TL,2021-12-05 13:42:41,-8.9266,125.4092,62.76,93,100,0.69
22,Busselton,AU,2021-12-05 13:42:41,-33.65,115.3333,63.09,69,0,17.94
23,Praia,CV,2021-12-05 13:42:41,14.9215,-23.5087,79.34,57,0,23.02
24,Nouadhibou,MR,2021-12-05 13:42:42,20.931,-17.0347,75.18,33,40,10.36
25,Cidreira,BR,2021-12-05 13:42:42,-30.1811,-50.2056,74.39,75,59,11.7
26,Ushuaia,AR,2021-12-05 13:39:26,-54.8,-68.3,47.86,66,40,20.71
27,Grand Gaube,MU,2021-12-05 13:42:43,-20.0064,57.6608,84.6,66,22,7.0
28,Aklavik,CA,2021-12-05 13:42:43,68.2191,-135.0107,-13.97,82,99,5.37
29,Vostok,RU,2021-12-05 13:42:43,46.4856,135.8833,9.7,90,5,5.82
30,Punta Arenas,CL,2021-12-05 13:42:43,-53.15,-70.9167,50.11,57,20,20.71
31,Kulhudhuffushi,MV,2021-12-05 13:42:44,6.6221,73.07,82.06,75,64,9.19
32,Nyagan,RU,2021-12-05 13:42:44,62.1406,65.3936,-1.55,98,98,4.09
33,Sao Joao Da Barra,BR,2021-12-05 13:42:44,-21.6403,-41.0511,82.49,74,0,8.39
34,Karema,TZ,2021-12-05 13:42:44,-6.8205,30.4389,82.04,61,88,4.52
35,Saint George,US,2021-12-05 13:42:45,37.1041,-113.5841,45.54,55,1,0.0
36,Lasa,IT,2021-12-05 13:42:45,46.6166,10.7002,36.48,84,100,4.99
37,Mahebourg,MU,2021-12-05 13:42:45,-20.4081,57.7,84.49,65,40,11.5
38,Hithadhoo,MV,2021-12-05 13:42:46,-0.6,73.0833,81.75,81,100,16.71
39,Bredasdorp,ZA,2021-12-05 13:42:46,-34.5322,20.0403,67.28,78,74,9.57
40,Ilulissat,GL,2021-12-05 13:39:05,69.2167,-51.1,35.62,44,75,27.63
41,Surt,LY,2021-12-05 13:42:46,31.2089,16.5887,64.27,32,0,13.53
42,Nanzhang,CN,2021-12-05 13:42:46,31.7765,111.8386,52.03,48,0,3.47
43,Hambantota,LK,2021-12-05 13:42:47,6.1241,81.1185,80.56,79,24,0.81
44,Hobart,AU,2021-12-05 13:40:19,-42.8794,147.3294,58.86,75,75,10.36
45,Bandar-E Lengeh,IR,2021-12-05 13:42:47,26.5579,54.8807,78.91,53,3,6.91
46,Abu Samrah,SY,2021-12-05 13:42:47,35.3029,37.1841,59.95,39,100,5.39
47,Torbay,CA,2021-12-05 13:43:48,47.6666,-52.7314,32.76,81,40,5.75
48,Basco,PH,2021-12-05 13:43:48,20.4487,121.9702,74.84,70,100,22.44
49,Pio Ix,BR,2021-12-05 13:43:48,-6.8375,-40.5792,88.72,41,49,12.91
50,Cap Malheureux,MU,2021-12-05 13:43:48,-19.9842,57.6142,84.69,66,18,7.0
51,Nikolskoye,RU,2021-12-05 13:43:49,59.7035,30.7861,7.39,95,30,5.37
52,Victoria,HK,2021-12-05 13:43:00,22.2855,114.1577,68.25,48,15,3.0
53,Marietta,US,2021-12-05 13:40:24,33.9526,-84.5499,59.34,92,90,2.3
54,Jamestown,US,2021-12-05 13:43:02,42.097,-79.2353,31.71,86,90,0.0
55,Lima,PE,2021-12-05 13:43:49,-12.0432,-77.0282,68.9,81,90,5.75
56,Nueva Loja,EC,2021-12-05 13:43:49,0.0847,-76.8828,74.68,100,75,2.3
57,Morant Bay,JM,2021-12-05 13:43:49,17.8815,-76.4093,80.62,76,100,8.99
58,Khorinsk,RU,2021-12-05 13:43:50,52.1657,109.7726,13.91,83,53,7.85
59,Sao Felix Do Xingu,BR,2021-12-05 13:43:50,-6.6447,-51.995,77.13,95,100,1.72
60,Norman Wells,CA,2021-12-05 13:43:50,65.282,-126.8329,-36.36,61,20,4.61
61,Salalah,OM,2021-12-05 13:43:50,17.0151,54.0924,82.49,39,0,13.8
62,Butaritari,KI,2021-12-05 13:43:51,3.0707,172.7902,81.99,81,57,14.9
63,Kurtamysh,RU,2021-12-05 13:43:51,54.9103,64.4319,31.42,96,100,11.74
64,Pisco,PE,2021-12-05 13:43:51,-13.7,-76.2167,67.01,88,90,3.44
65,Alice Springs,AU,2021-12-05 13:43:51,-23.7,133.8833,74.75,41,100,10.36
66,Salinas,US,2021-12-05 13:43:52,36.6777,-121.6555,51.84,93,90,4.61
67,Puerto Colombia,CO,2021-12-05 13:43:52,10.9878,-74.9547,84.29,74,99,9.75
68,Bezhanitsy,RU,2021-12-05 13:43:52,56.9767,29.8907,12.85,95,100,6.42
69,Shakawe,BW,2021-12-05 13:43:52,-18.3667,21.85,81.61,44,100,3.47
70,Saldanha,ZA,2021-12-05 13:43:53,-33.0117,17.9442,68.05,75,9,11.23
71,Kahului,US,2021-12-05 13:43:34,20.8947,-156.47,73.42,78,40,10.36
72,Thompson,CA,2021-12-05 13:43:53,55.7435,-97.8558,-21.84,76,20,5.75
73,Srivardhan,IN,2021-12-05 13:43:54,18.0333,73.0167,76.28,74,2,3.15
74,Kasulu,TZ,2021-12-05 13:43:54,-4.5767,30.1025,74.86,69,100,3.33
75,Namatanai,PG,2021-12-05 13:43:54,-3.6667,152.4333,77.9,91,100,8.86
76,Yellowknife,CA,2021-12-05 13:43:54,62.456,-114.3525,-23.28,76,20,10.36
77,Qaanaaq,GL,2021-12-05 13:43:55,77.484,-69.3632,13.5,66,69,7.94
78,Kachug,RU,2021-12-05 13:43:55,53.9606,105.8817,13.15,94,97,4.61
79,Olafsvik,IS,2021-12-05 13:43:55,64.8945,-23.7142,39.25,92,100,51.4
80,Ormara,PK,2021-12-05 13:43:55,25.2088,64.6357,77.07,59,0,13.29
81,Hue,VN,2021-12-05 13:42:53,16.4667,107.6,66.31,88,75,6.91
82,Pokhara,NP,2021-12-05 13:43:56,28.2333,83.9833,61.16,69,0,5.5
83,Chokurdakh,RU,2021-12-05 13:43:56,70.6333,147.9167,-42.48,100,58,4.21
84,Millington,US,2021-12-05 13:43:56,35.3415,-89.8973,62.42,96,90,0.0
85,Saint Anthony,US,2021-12-05 13:43:57,45.0205,-93.218,30.72,78,90,7.0
86,Aktau,KZ,2021-12-05 13:43:57,43.65,51.2,46.98,56,100,10.33
87,Albany,US,2021-12-05 13:43:00,42.6001,-73.9662,34.38,81,100,3.29
88,Naze,JP,2021-12-05 13:43:57,28.3667,129.4833,61.99,65,100,18.7
89,Bengkulu,ID,2021-12-05 13:43:57,-3.8004,102.2655,75.58,91,100,8.12
90,Port Alfred,ZA,2021-12-05 13:43:58,-33.5906,26.891,70.9,92,100,26.08
91,Mehamn,NO,2021-12-05 13:43:58,71.0357,27.8492,20.68,91,94,24.07
92,Khatanga,RU,2021-12-05 13:44:58,71.9667,102.5,-19.5,96,100,14.32
93,Arraial Do Cabo,BR,2021-12-05 13:44:58,-22.9661,-42.0278,82.36,69,0,19.57
94,Vanimo,PG,2021-12-05 13:44:59,-2.6741,141.3028,80.22,82,95,4.92
95,Iqaluit,CA,2021-12-05 13:44:59,63.7506,-68.5145,8.33,65,90,25.01
96,Samana,DO,2021-12-05 13:44:59,19.2056,-69.3369,73.62,94,40,0.0
97,Tiksi,RU,2021-12-05 13:44:59,71.6872,128.8694,-11.13,95,100,6.58
98,Bundaberg,AU,2021-12-05 13:45:00,-24.85,152.35,73.22,91,94,4.0
99,San Quintin,MX,2021-12-05 13:45:00,30.4833,-115.95,57.24,89,69,8.52
100,Madanapalle,IN,2021-12-05 13:45:00,13.55,78.5,72.66,75,7,3.09
101,Broome,US,2021-12-05 13:45:00,42.2506,-75.833,32.9,79,1,3.0
102,Taoudenni,ML,2021-12-05 13:41:02,22.6783,-3.9836,71.73,13,100,12.59
103,Dikson,RU,2021-12-05 13:45:01,73.5069,80.5464,8.8,96,100,8.08
104,Port Lincoln,AU,2021-12-05 13:45:01,-34.7333,135.8667,58.86,84,36,5.7
105,Vaini,TO,2021-12-05 13:45:01,-21.2,-175.2,77.16,88,40,8.05
106,Ostrovnoy,RU,2021-12-05 13:45:01,68.0531,39.5131,3.58,93,79,13.11
107,Pringsewu,ID,2021-12-05 13:45:02,-5.3582,104.9744,74.44,96,99,0.83
108,Saint-Philippe,RE,2021-12-05 13:45:02,-21.3585,55.7679,82.22,76,12,11.32
109,Lalibela,ET,2021-12-05 13:45:02,12.0333,39.0333,72.37,22,0,4.05
110,Xiongzhou,CN,2021-12-05 13:45:02,25.1167,114.3,50.59,54,0,2.64
111,Katsuura,JP,2021-12-05 13:45:03,35.1333,140.3,52.2,71,100,8.84
112,Lere,NG,2021-12-05 13:45:03,10.387,8.5726,91.24,17,95,8.77
113,Afua,BR,2021-12-05 13:45:03,-0.1567,-50.3867,84.42,70,76,3.94
114,Meulaboh,ID,2021-12-05 13:45:04,4.1363,96.1285,79.11,81,91,3.33
115,Fare,PF,2021-12-05 13:45:04,-16.7,-151.0167,80.42,69,28,14.07
